year,quarter,segment,flow,split_type,split_value,count_value,pct_value
2020,1,Technology,outgoing,first_timer,No,,
2020,2,Global,incoming,gender,Men,58,92.1
2020,2,Global,incoming,gender,Women,5,7.9
2020,2,Global,incoming,appointment,Internal,50,79.4
2020,2,Global,incoming,appointment,External,13,20.6
2020,2,Global,incoming,first_timer,Yes,57,90.5
2020,2,Global,incoming,first_timer,No,6,9.5
2020,2,Global,outgoing,gender,Men,47,90.4
2020,2,Global,outgoing,gender,Women,5,9.6
2020,2,Global,outgoing,appointment,Internal,38,73.1
2020,2,Global,outgoing,appointment,External,14,26.9
2020,2,Global,outgoing,first_timer,Yes,47,90.4
2020,2,Global,outgoing,first_timer,No,5,9.6
2020,2,Consumer,incoming,gender,Men,13,100.0
2020,2,Consumer,incoming,gender,Women,0,0.0
2020,2,Consumer,incoming,appointment,Internal,10,76.9
2020,2,Consumer,incoming,appointment,External,3,23.1
2020,2,Consumer,incoming,first_timer,Yes,,
2020,2,Consumer,incoming,first_timer,No,,
2020,2,Consumer,outgoing,gender,Men,6,100.0
2020,2,Consumer,outgoing,gender,Women,0,0.0
2020,2,Consumer,outgoing,appointment,Internal,4,66.7
2020,2,Consumer,outgoing,appointment,External,2,33.3
2020,2,Consumer,outgoing,first_timer,Yes,,
2020,2,Consumer,outgoing,first_timer,No,,
2020,2,Financial Services,incoming,gender,Men,13,100.0
2020,2,Financial Services,incoming,gender,Women,0,0.0
2020,2,Financial Services,incoming,appointment,Internal,10,76.9
2020,2,Financial Services,incoming,appointment,External,3,23.1
2020,2,Financial Services,incoming,first_timer,Yes,,
2020,2,Financial Services,incoming,first_timer,No,,
2020,2,Financial Services,outgoing,gender,Men,13,92.9
2020,2,Financial Services,outgoing,gender,Women,1,7.1
2020,2,Financial Services,outgoing,appointment,Internal,14,100.0
2020,2,Financial Services,outgoing,appointment,External,0,0.0
2020,2,Financial Services,outgoing,first_timer,Yes,,
2020,2,Financial Services,outgoing,first_timer,No,,
2020,2,Healthcare,incoming,gender,Men,3,75.0
2020,2,Healthcare,incoming,gender,Women,1,25.0
2020,2,Healthcare,incoming,appointment,Internal,4,100.0
2020,2,Healthcare,incoming,appointment,External,0,0.0
2020,2,Healthcare,incoming,first_timer,Yes,,
2020,2,Healthcare,incoming,first_timer,No,,
2020,2,Healthcare,outgoing,gender,Men,2,66.7
2020,2,Healthcare,outgoing,gender,Women,1,33.3
2020,2,Healthcare,outgoing,appointment,Internal,1,33.3
2020,2,Healthcare,outgoing,appointment,External,2,66.7
2020,2,Healthcare,outgoing,first_timer,Yes,,
2020,2,Healthcare,outgoing,first_timer,No,,
2020,2,Industrial,incoming,gender,Men,,
2020,2,Industrial,incoming,gender,Women,,
2020,2,Industrial,incoming,appointment,Internal,,
2020,2,Industrial,incoming,appointment,External,,
2020,2,Industrial,incoming,first_timer,Yes,,
2020,2,Industrial,incoming,first_timer,No,,
2020,2,Industrial,outgoing,gender,Men,,
2020,2,Industrial,outgoing,gender,Women,,
2020,2,Industrial,outgoing,appointment,Internal,,
2020,2,Industrial,outgoing,appointment,External,,
2020,2,Industrial,outgoing,first_timer,Yes,,
2020,2,Industrial,outgoing,first_timer,No,,
2020,2,Technology,incoming,gender,Men,6,85.7
2020,2,Technology,incoming,gender,Women,1,14.3
2020,2,Technology,incoming,appointment,Internal,6,85.7
2020,2,Technology,incoming,appointment,External,1,14.3
2020,2,Technology,incoming,first_timer,Yes,,
2020,2,Technology,incoming,first_timer,No,,
2020,2,Technology,outgoing,gender,Men,7,77.8
2020,2,Technology,outgoing,gender,Women,2,22.2
2020,2,Technology,outgoing,appointment,Internal,8,88.9
2020,2,Technology,outgoing,appointment,External,1,11.1
2020,2,Technology,outgoing,first_timer,Yes,,
2020,2,Technology,outgoing,first_timer,No,,
2020,3,Global,incoming,gender,Men,43,93.5
2020,3,Global,incoming,gender,Women,3,6.5
2020,3,Global,incoming,appointment,Internal,22,47.8
2020,3,Global,incoming,appointment,External,24,52.2
2020,3,Global,incoming,first_timer,Yes,33,71.7
2020,3,Global,incoming,first_timer,No,13,28.3
2020,3,Global,outgoing,gender,Men,30,100
2020,3,Global,outgoing,gender,Women,0,0
2020,3,Global,outgoing,appointment,Internal,17,56.7
2020,3,Global,outgoing,appointment,External,13,43.3
2020,3,Global,outgoing,first_timer,Yes,26,86.7
2020,3,Global,outgoing,first_timer,No,4,13.3
2020,3,Consumer,incoming,gender,Men,9,100.0
2020,3,Consumer,incoming,gender,Women,0,0.0
2020,3,Consumer,incoming,appointment,Internal,7,77.8
2020,3,Consumer,incoming,appointment,External,2,22.2
2020,3,Consumer,incoming,first_timer,Yes,,
2020,3,Consumer,incoming,first_timer,No,,
2020,3,Consumer,outgoing,gender,Men,8,100.0
2020,3,Consumer,outgoing,gender,Women,0,0.0
2020,3,Consumer,outgoing,appointment,Internal,3,37.5
2020,3,Consumer,outgoing,appointment,External,5,62.5
2020,3,Consumer,outgoing,first_timer,Yes,,
2020,3,Consumer,outgoing,first_timer,No,,
2020,3,Financial Services,incoming,gender,Men,8,88.9
2020,3,Financial Services,incoming,gender,Women,1,11.1
2020,3,Financial Services,incoming,appointment,Internal,5,55.6
2020,3,Financial Services,incoming,appointment,External,4,44.4
2020,3,Financial Services,incoming,first_timer,Yes,,
2020,3,Financial Services,incoming,first_timer,No,,
2020,3,Financial Services,outgoing,gender,Men,6,100.0
2020,3,Financial Services,outgoing,gender,Women,0,0.0
2020,3,Financial Services,outgoing,appointment,Internal,4,66.7
2020,3,Financial Services,outgoing,appointment,External,2,33.3
2020,3,Financial Services,outgoing,first_timer,Yes,,
2020,3,Financial Services,outgoing,first_timer,No,,
2020,3,Healthcare,incoming,gender,Men,1,100.0
2020,3,Healthcare,incoming,gender,Women,0,0.0
2020,3,Healthcare,incoming,appointment,Internal,0,0.0
2020,3,Healthcare,incoming,appointment,External,1,100.0
2020,3,Healthcare,incoming,first_timer,Yes,,
2020,3,Healthcare,incoming,first_timer,No,,
2020,3,Healthcare,outgoing,gender,Men,1,100.0
2020,3,Healthcare,outgoing,gender,Women,0,0.0
2020,3,Healthcare,outgoing,appointment,Internal,1,100.0
2020,3,Healthcare,outgoing,appointment,External,0,0.0
2020,3,Healthcare,outgoing,first_timer,Yes,,
2020,3,Healthcare,outgoing,first_timer,No,,
2020,3,Industrial,incoming,gender,Men,,
2020,3,Industrial,incoming,gender,Women,,
2020,3,Industrial,incoming,appointment,Internal,,
2020,3,Industrial,incoming,appointment,External,,
2020,3,Industrial,incoming,first_timer,Yes,,
2020,3,Industrial,incoming,first_timer,No,,
2020,3,Industrial,outgoing,gender,Men,,
2020,3,Industrial,outgoing,gender,Women,,
2020,3,Industrial,outgoing,appointment,Internal,,
2020,3,Industrial,outgoing,appointment,External,,
2020,3,Industrial,outgoing,first_timer,Yes,,
2020,3,Industrial,outgoing,first_timer,No,,
2020,3,Technology,incoming,gender,Men,9,100.0
2020,3,Technology,incoming,gender,Women,0,0.0
2020,3,Technology,incoming,appointment,Internal,3,33.3
2020,3,Technology,incoming,appointment,External,6,66.7
2020,3,Technology,incoming,first_timer,Yes,,
2020,3,Technology,incoming,first_timer,No,,
2020,3,Technology,outgoing,gender,Men,3,100.0
2020,3,Technology,outgoing,gender,Women,0,0.0
2020,3,Technology,outgoing,appointment,Internal,1,33.3
2020,3,Technology,outgoing,appointment,External,2,66.7
2020,3,Technology,outgoing,first_timer,Yes,,
2020,3,Technology,outgoing,first_timer,No,,
2020,4,Global,incoming,gender,Men,34,91.9
2020,4,Global,incoming,gender,Women,3,8.1
2020,4,Global,incoming,appointment,Internal,20,54.1
2020,4,Global,incoming,appointment,External,17,45.9
2020,4,Global,incoming,first_timer,Yes,33,89.2
2020,4,Global,incoming,first_timer,No,4,10.8
2020,4,Global,outgoing,gender,Men,38,97.4
2020,4,Global,outgoing,gender,Women,1,2.6
2020,4,Global,outgoing,appointment,Internal,30,76.9
2020,4,Global,outgoing,appointment,External,9,23.1
2020,4,Global,outgoing,first_timer,Yes,34,87.2
2020,4,Global,outgoing,first_timer,No,5,12.8
2020,4,Consumer,incoming,gender,Men,5,83.3
2020,4,Consumer,incoming,gender,Women,1,16.7
2020,4,Consumer,incoming,appointment,Internal,3,50.0
2020,4,Consumer,incoming,appointment,External,3,50.0
