year,quarter,scope,segment,company_count
2023,2,industry,Healthcare,110
2023,2,industry,Industrial,738
2023,2,industry,Technology,213
2023,3,industry,Global,1842
2023,3,industry,Consumer,319
2023,3,industry,Financial Services,462
2023,3,industry,Healthcare,110
2023,3,industry,Industrial,738
2023,3,industry,Technology,213
2023,4,industry,Global,1857
2023,4,industry,Consumer,324
2023,4,industry,Financial Services,458
2023,4,industry,Healthcare,113
2023,4,industry,Industrial,747
2023,4,industry,Technology,215
2024,1,industry,Global,1859
2024,1,industry,Consumer,326
2024,1,industry,Financial Services,457
2024,1,industry,Healthcare,112
2024,1,industry,Industrial,746
2024,1,industry,Technology,218
2024,2,industry,Global,1860
2024,2,industry,Consumer,325
2024,2,industry,Financial Services,460
2024,2,industry,Healthcare,110
2024,2,industry,Industrial,744
2024,2,industry,Technology,221
2024,3,industry,Global,1869
2024,3,industry,Consumer,327
2024,3,industry,Financial Services,467
2024,3,industry,Healthcare,112
2024,3,industry,Industrial,741
2024,3,industry,Technology,222
2024,4,industry,Global,1862
2024,4,industry,Consumer,318
2024,4,industry,Financial Services,466
2024,4,industry,Healthcare,111
2024,4,industry,Industrial,739
2024,4,industry,Technology,228
2025,1,industry,Global,1857
2025,1,industry,Consumer,319
2025,1,industry,Financial Services,466
2025,1,industry,Healthcare,113
2025,1,industry,Industrial,733
2025,1,industry,Technology,226
2025,2,industry,Global,1853
2025,2,industry,Consumer,323
2025,2,industry,Financial Services,472
2025,2,industry,Healthcare,110
2025,2,industry,Industrial,724
2025,2,industry,Technology,224
2025,3,industry,Global,1855
2025,3,industry,Consumer,322
2025,3,industry,Financial Services,470
2025,3,industry,Healthcare,113
2025,3,industry,Industrial,727
2025,3,industry,Technology,223
2025,4,industry,Global,1855
2025,4,industry,Consumer,322
2025,4,industry,Financial Services,470
2025,4,industry,Healthcare,113
2025,4,industry,Industrial,727
2025,4,industry,Technology,223
2026,1,index,Global,1867
2026,1,index,SP500,500
2026,1,index,FTSE100,100
2026,1,index,ASX200,201
2026,1,index,CAC40,40
2026,1,index,DAX40,40
2026,1,index,EuroNext100,100
2026,1,index,FTSE250,250
2026,1,index,HANGSENG,90
2026,1,index,Nikkei225,225
2026,1,index,NSENifty50,50
2026,1,index,SPTSX Composite,221
2026,1,index,STI,30
2026,1,index,SMI,20
2026,1,industry,Global,1867
2026,1,industry,Consumer,316
2026,1,industry,Financial Services,473
2026,1,industry,Healthcare,112
2026,1,industry,Industrial,749
2026,1,industry,Technology,217
